        617.00;48.752.000;88.804.404;49.685.045;20.000.000;;;
        618.00;47.272.000;60.295.568;49.696.775;20.000.000;;;
        619.00;45.832.000;75.530.715;49.709.308;20.000.000;;;
        620.00;43.952.000;51.224.994;49.720.891;20.000.000;;;
        621.00;42.152.000;40.900.964;49.732.556;20.000.000;;;
        622.00;41.352.000;92.000.000;49.744.015;20.000.000;;;
        623.00;40.192.000;58.057.443;49.755.613;20.000.000;;;
        624.00;38.512.000;40.529.824;49.767.148;20.000.000;;;
        625.00;37.072.000;97.251.107;49.778.741;20.000.000;;;
        626.00;34.992.000;57.131.427;49.790.229;20.000.000;;;
        627.00;33.952.000;92.913.341;49.801.856;19.990.000;;;
        628.00;32.992.000;52.594.888;49.813.040;19.990.000;;;
        629.00;32.472.000;60.000.000;49.824.909;20.000.000;;;
        630.00;30.192.000;61.042.790;49.836.517;20.000.000;;;
        631.00;30.672.000;34.253.954;49.848.101;20.000.000;;;
        632.00;28.792.000;48.826.222;49.859.709;20.000.000;;;
        633.00;28.352.000;59.568.821;49.871.211;20.000.000;;;
        634.00;27.552.000;32.000.000;49.882.855;20.000.000;;;
        635.00;26.592.000;37.617.963;49.894.545;20.000.000;;;
        636.00;25.992.000;64.235.677;49.906.990;20.000.000;;;
        637.00;24.352.000;44.141.188;49.918.729;20.000.000;;;
        638.00;22.392.000;47.347.416;49.931.203;20.000.000;;;
        639.00;23.072.000;81.103.500;49.942.824;20.000.000;;;
        640.00;22.112.000;47.777.261;49.954.259;20.000.000;;;
        641.00;20.832.000;69.589.271;49.965.819;20.000.000;;;
        642.00;20.792.000;59.643.385;49.977.319;20.000.000;;;
        643.00;20.056.000;39.754.804;49.988.897;20.000.000;;;
        644.00;19.016.000;47.046.077;50.031.071;20.003.300;;;
        645.00;18.896.000;37.617.963;50.042.730;20.000.000;;;
        646.00;18.656.000;65.101.630;50.055.179;20.000.000;;;
        647.00;17.776.000;61.159.173;50.066.722;20.000.000;;;
        648.00;16.936.000;37.735.925;50.078.309;20.000.000;;;
        649.00;15.816.000;43.512.450;50.089.772;20.000.000;;;
        650.00;15.976.000;45.195.870;50.101.277;20.000.000;;;
