Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
611.11;1;2,2912665;0.39233119;18322.8;7996.8;0,021423253;0,004205605;78,805557;66,3896;4581,6874;21,4733
616.77;1;2,2773197;0.38974522;18338.8;8052.8;0,02397048;0,005146819;104,60854;71,23571;4587,3492;21,4766
622.45;1;2,2760443;0.38950764;18264.8;8024.8;0,023782917;0,005182272;106,10422;69,700109;4593,0359;21,47
628.12;1;2,2532416;0.38522856;18072.8;8020.8;0,021700258;0,005101179;108,54444;60,384731;4598,7041;21,47
633.79;1;2,2619446;0.38686881;18368.8;8120.8;0,024418724;0,005088383;100,44532;75,588916;4604,3755;21,48
639.47;1;2,2647412;0.38739401;18128.8;8004.8;0,022947413;0,004833476;95,193985;69,367063;4610,0544;21,48
645.16;1;2,2442669;0.38352791;18202.8;8110.8;0,017126645;0,003969325;84,179007;49,236272;4615,7378;21,4833
650.82;1;2,2526639;0.38511938;18180.8;8070.8;0,023705905;0,005325103;110,50125;69,335189;4621,3956;21,4866
656.49;1;2,2730746;0.38895374;18322.8;8060.8;0,020362893;0,004178288;81,381493;62,710697;4627,0775;21,49
662.26;1;2,2328666;0.38135399;18114.8;8112.8;0,018776004;0,004190601;85,852996;56,352275;4632,8423;21,49
667.93;1;2,3161379;0.39688877;18192.8;7854.8;0,023634272;0,004245155;71,324315;74;4638,5124;21,49
673.61;1;2,2802429;0.39028906;18170.8;7968.8;0,021050132;0,004942343;105,98411;57,020772;4644,1938;21,4933
679.38;1;2,2393141;0.38258535;18126.8;8094.8;0,020784548;0,00456084;92,373384;62,796245;4649,9647;21,4933
685.05;1;2,2602402;0.38654827;17988.8;7958.8;0,02142356;0,005708976;129,08096;49,287556;4655,6278;21,5066
690.71;1;2,2625019;0.38697353;18006.8;7958.8;0,023525822;0,005450549;114,62617;65,436188;4661,299;21,5
696.47;1;2,2642557;0.3873029;18106.8;7996.8;0,018715488;0,004360213;92,555531;51,943289;4667,0551;21,5
702.16;1;2,2264151;0.38011696;17888.8;8034.8;0,023418272;0,005333301;109,43299;68,749737;4672,7404;21,5
707.82;1;2,1929257;0.37361525;17904.8;8164.8;0,022043853;0,005167768;107,71893;65,752326;4678,4073;21,5
713.6;1;2,2202558;0.37893133;17914.8;8068.8;0,026163458;0,005268371;95,994517;84,683932;4684,1855;21,5133
719.38;1;2,2031067;0.37560619;18040.8;8188.8;0,025321502;0,004928467;85,37225;85,770808;4689,9604;21,5166
725.06;1;2,2487253;0.38437392;17640.8;7844.8;0,024527403;0,005317115;104,00405;71,988303;4695,6441;21,5166
730.82;1;2,1762368;0.37032403;17524.8;8052.8;0,024073363;0,00566048;115,36304;71,589473;4701,4088;21,51
736.5;1;2,2515838;0.38491513;17770.4;7892.4;0,025034412;0,00547795;108,85432;73,233584;4707,0786;21,51
745.12;1;2,22564;0.37996801;17770.4;7984.4;0,026127698;0,005479424;103,90684;81,277951;4715,7042;21,52
750.79;1;2,2173519;0.37837077;17624.4;7948.4;0,020147719;0,004582824;92,3825;58,993309;4721,3726;21,5233
756.46;1;2,1904762;0.37313433;17498.4;7988.4;0,01882084;0,004173136;81,196318;57,767228;4727,0424;21,5233
762.12;1;2,1970125;0.37441596;17414.4;7926.4;0,02654562;0,005503902;99,75127;84,325185;4732,7039;21,5266
767.8;1;2,1831735;0.37169621;17396.4;7968.4;0,027148822;0,00611436;119,65829;82,552694;4738,3844;21,53
773.47;1;2,1940261;0.37383104;17364.4;7914.4;0,017624151;0,004513915;96,528152;45,892322;4744,0545;21,53
779.13;1;2,1799909;0.37106738;17266.4;7920.4;0,022613921;0,004777586;87,003932;71,817019;4749,7123;21,53
784.8;1;2,1461911;0.36431072;16994.4;7918.4;0,023459733;0,00543994;105,55517;71,223887;4755,3822;21,53
790.48;1;2,1739197;0.36986434;16944.4;7794.4;0,014943359;0,00395416;83,878358;37,173845;4761,0592;21,5333
796.17;1;2,8672587;0.48283781;19630.4;6846.4;0,050158683;0,012513551;291,57431;63,272177;4766,75;21,5466
816.57;1;3,0204032;0.50253746;20014.4;6626.4;0,031859772;0,005954182;130,66953;54,89895;4787,1497;21,54
822.25;1;3,0716689;0.50880092;20452.4;6658.4;0,031486801;0,00498045;104,82567;59,109176;4792,8316;21,5533
828.03;1;3,022061;0.5027425;20164.4;6672.4;0,028935717;0,004648707;96,789517;55,279196;4798,6062;21,5533
833.69;1;2,9953757;0.49942129;19950.4;6660.4;0,031813532;0,005573969;119,10544;58,50596;4804,2753;21,5566
839.37;1;3,0743771;0.50912742;20138.4;6550.4;0,032294227;0,005154204;107,2881;59,301194;4809,9544;21,55
