Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
837.05;        Sample;1;32.344.488;    0.52768351;19.987.600;61.796.000;   0.041715174;  0.0063229482;12.904.426;68.994.279;69.536.057;22.146.600
837.05;       Sample2;1;37.440.950;    0.57842328;21.811.600;58.256.000;   0.043504407;  0.0051022069;10.540.249;61.558.701;69.610.353;22.140.000
851.86;        Sample;1;32.465.700;    0.52903167;19.971.600;61.516.000;   0.039016715;  0.0053474382;10.395.444;66.634.905;69.684.551;22.146.600
851.86;       Sample2;1;38.462.454;    0.58730938;21.983.600;57.156.000;   0.041049778;  0.0050860029;10.879.145;54.046.763;69.758.001;22.153.300
866.57;        Sample;1;33.141.936;    0.53641395;20.155.600;60.816.000;   0.041516492;  0.0055922956;10.957.814;68.634.808;69.830.553;22.156.600
866.57;       Sample2;1;38.289.146;    0.58582826;21.547.600;56.276.000;   0.041948619;  0.0058573219;12.713.772;51.949.368;69.904.806;22.156.600
881.28;        Sample;1;32.836.680;    0.53311041;20.081.600;61.156.000;   0.034553374;  0.0040836174;72.512.794;60.445.713;69.979.031;22.160.000
881.28;       Sample2;1;37.099.733;    0.57536914;21.679.600;58.436.000;   0.047016280;  0.0052654709;10.536.253;68.393.598;70.053.013;22.156.600
896.06;        Sample;1;31.794.626;    0.52146958;19.927.600;62.676.000;   0.028845207;  0.0046124655;95.651.781;48.251.534;70.125.342;22.163.300
896.06;       Sample2;1;37.983.826;    0.58319289;21.793.600;57.376.000;   0.038749001;  0.0047008363;98.733.027;52.443.453;70.199.031;22.163.300
910.67;        Sample;1;32.869.751;    0.53347059;20.259.600;61.636.000;   0.026309324;  0.0042699452;90.764.009;40.882.373;70.273.368;22.166.600
910.67;       Sample2;1;38.175.850;    0.58485424;21.865.600;57.276.000;   0.046129247;  0.0070003572;15.718.578;55.628.467;70.347.063;22.170.000
925.49;        Sample;1;33.383.916;    0.53899966;19.975.600;59.836.000;   0.040710330;  0.0059460603;12.013.589;63.476.477;70.420.888;22.166.600
925.49;       Sample2;1;38.447.534;    0.58718229;21.456.800;55.808.000;   0.038584070;  0.0061838327;13.759.131;43.081.318;70.495.535;22.173.300
943.46;        Sample;1;32.791.669;    0.53261931;20.090.800;61.268.000;   0.032086440;  0.0050471150;10.524.258;50.635.956;70.599.462;22.180.000
943.46;       Sample2;1;38.650.614;    0.58890550;21.894.800;56.648.000;   0.041292769;  0.0060464764;13.480.200;49.460.245;70.673.116;22.186.600
958.07;        Sample;1;33.339.108;    0.53852304;20.012.800;60.028.000;   0.039077453;  0.0054286344;10.747.240;62.540.934;70.747.460;22.180.000
958.07;       Sample2;1;38.645.170;    0.58885949;21.860.800;56.568.000;   0.042940257;  0.0058095942;12.690.320;53.594.972;70.820.922;22.193.300
972.90;        Sample;1;32.934.048;    0.53416925;19.894.800;60.408.000;   0.030623262;  0.0046896872;95.933.091;48.026.309;70.894.230;22.193.300
972.90;       Sample2;1;38.349.968;    0.58634926;21.670.800;56.508.000;   0.045540642;  0.0058811229;12.563.188;58.563.506;70.968.430;22.196.600
987.64;        Sample;1;32.529.291;    0.52973587;19.656.800;60.428.000;   0.030912287;  0.0041100582;77.329.098;52.272.565;71.041.278;22.200.000
987.64;       Sample2;1;37.590.378;    0.57974698;21.752.800;57.868.000;   0.054057143;  0.0057123591;11.171.769;77.729.626;71.116.460;22.190.000
1002.46;        Sample;1;32.700.170;    0.53161779;19.962.800;61.048.000;   0.040006460;  0.0061220986;12.550.446;64.072.328;71.190.435;22.203.300
1002.46;       Sample2;1;38.431.928;    0.58704927;21.724.800;56.528.000;   0.050978205;  0.0058503294;12.014.027;68.154.623;71.264.437;22.206.600
1017.31;        Sample;1;33.293.916;    0.53804132;20.158.800;60.548.000;   0.025601370;  0.0044465169;95.906.753;36.577.243;71.338.179;22.206.600
1017.31;       Sample2;1;38.388.447;    0.58667820;21.638.800;56.368.000;   0.035505039;  0.0046545248;99.737.550;45.198.975;71.411.699;22.210.000
1032.00;        Sample;1;33.652.874;    0.54184002;20.234.800;60.128.000;   0.042351760;  0.0065053941;13.579.784;64.013.157;71.485.897;22.210.000
1032.00;       Sample2;1;38.284.439;    0.58578787;21.610.800;56.448.000;   0.040738604;  0.0044869392;89.878.280;55.288.716;71.560.396;22.210.000
1046.82;        Sample;1;32.968.349;    0.53454111;20.040.800;60.788.000;   0.030076890;  0.0039761255;76.496.990;50.369.163;71.633.698;22.220.000
1046.82;       Sample2;1;37.880.924;    0.58229712;21.708.800;57.308.000;   0.034929834;  0.0046931604;10.154.180;45.540.034;71.707.609;22.213.300
1061.63;        Sample;1;32.630.009;    0.53084692;20.128.800;61.688.000;   0.028213145;  0.0046069603;97.458.223;44.190.973;71.780.969;22.220.000
1061.63;       Sample2;1;38.236.081;    0.58537262;21.728.800;56.828.000;   0.049178397;  0.0065525665;14.162.664;63.010.442;71.854.879;22.220.000
1076.34;        Sample;1;32.601.167;    0.53052930;19.882.800;60.988.000;   0.033655276;  0.0049677363;99.872.550;55.004.306;71.929.140;22.233.300
1076.34;       Sample2;1;38.552.222;    0.58807241;21.792.800;56.528.000;   0.038359173;  0.0040117737;79.158.735;52.363.105;72.002.451;22.236.600
1091.06;        Sample;1;33.567.812;    0.54094551;20.156.800;60.048.000;   0.037564360;  0.0051344572;10.179.856;59.964.902;72.076.430;22.220.000
1091.06;       Sample2;1;38.826.729;    0.59038829;21.986.800;56.628.000;   0.040788004;  0.0050634125;10.852.019;52.513.657;72.150.400;22.230.000
1105.88;        Sample;1;32.938.144;    0.53421369;19.936.800;60.528.000;   0.031220709;  0.0038097131;69.105.564;53.398.206;72.224.824;22.240.000
1105.88;       Sample2;1;37.545.979;    0.57935454;21.884.800;58.288.000;   0.036152797;  0.0049592263;10.877.306;48.070.124;72.299.094;22.243.300
1120.73;        Sample;1;32.661.753;    0.53119601;20.030.800;61.328.000;   0.040304718;  0.0054539960;10.584.895;68.388.980;72.372.632;22.246.600
1120.73;       Sample2;1;37.396.507;    0.57802797;21.752.800;58.168.000;   0.031591993;  0.0055885524;12.869.875;35.075.858;72.476.217;22.250.000
1138.40;        Sample;1;32.968.405;    0.53454171;20.284.800;61.528.000;   0.033887169;  0.0047756779;96.175.279;56.112.669;72.549.571;22.250.000
1138.40;       Sample2;1;37.799.819;    0.58158837;21.722.800;57.468.000;   0.044400358;  0.0046370547;90.205.613;63.143.946;72.623.824;22.250.000
1153.22;        Sample;1;32.902.338;    0.53382494;20.092.800;61.068.000;   0.034138304;  0.0054220027;11.348.638;53.151.224;72.697.988;22.250.000
1153.22;       Sample2;1;38.973.174;    0.59161315;22.256.800;57.108.000;   0.045673883;  0.0055043320;11.830.736;59.646.326;72.771.959;22.266.600
1168.05;        Sample;1;32.870.014;    0.53347344;20.138.800;61.268.000;   0.044985037;  0.0059151075;11.383.737;76.363.397;72.845.704;22.266.600
1168.05;       Sample2;1;39.341.722;    0.59466352;22.136.800;56.268.000;   0.048893067;  0.0054811663;11.428.865;63.609.003;72.919.740;22.260.000
1182.77;        Sample;1;32.703.002;    0.53164885;20.088.800;61.428.000;   0.031827871;  0.0054045496;11.551.259;48.234.078;72.994.176;22.260.000
1182.77;       Sample2;1;37.526.794;    0.57918475;22.128.800;58.968.000;   0.035631176;  0.0044267109;95.034.620;49.934.694;73.066.803;22.273.300
1197.43;        Sample;1;33.326.903;    0.53839304;20.038.800;60.128.000;   0.033556430;  0.0049245550;99.973.681;52.587.771;73.140.259;22.273.300
1197.43;       Sample2;1;37.107.100;    0.57543555;22.118.800;59.608.000;   0.050826779;  0.0059270152;12.348.876;74.556.937;73.212.807;22.270.000
1212.15;        Sample;1;32.896.556;    0.53376211;20.174.800;61.328.000;   0.032341944;  0.0039235882;71.629.162;56.225.111;73.285.874;22.276.600
1212.15;       Sample2;1;37.675.087;    0.58049369;22.012.800;58.428.000;   0.043020913;  0.0052210495;11.059.266;59.913.973;73.360.093;22.280.000
1226.84;        Sample;1;33.257.128;    0.53764845;20.016.800;60.188.000;   0.032320289;  0.0043192810;83.809.307;52.785.564;73.433.608;22.270.000
1226.84;       Sample2;1;38.058.970;    0.58384460;22.046.800;57.928.000;   0.042591752;  0.0054854685;11.903.029;56.783.986;73.508.024;22.280.000
1241.56;        Sample;1;32.689.349;    0.53149907;20.060.800;61.368.000;   0.040882088;  0.0043049313;66.655.438;73.990.042;73.580.570;22.286.600
1241.56;       Sample2;1;37.516.619;    0.57909463;22.122.800;58.968.000;   0.046007757;  0.0069695834;15.847.364;58.694.571;73.654.904;22.286.600
1256.30;        Sample;1;32.718.650;    0.53182041;20.006.800;61.148.000;   0.032624482;  0.0045658342;90.168.264;54.388.466;73.729.501;22.290.000
1256.30;       Sample2;1;37.144.010;    0.57576795;22.088.800;59.468.000;   0.034519654;  0.0046916412;10.351.710;47.725.090;73.802.348;22.293.300
1271.11;        Sample;1;32.791.601;    0.53261856;19.926.800;60.768.000;   0.030186485;  0.0052697233;11.259.522;44.162.380;73.876.098;22.290.000
1271.11;       Sample2;1;37.920.833;    0.58264498;22.148.800;58.408.000;   0.040196346;  0.0065118420;15.011.574;47.603.627;73.951.309;22.306.600
1285.94;        Sample;1;32.612.277;    0.53065169;19.954.800;61.188.000;   0.037925595;  0.0053739202;10.639.648;63.237.231;74.025.492;22.306.600
1285.94;       Sample2;1;37.048.140;    0.57490350;22.194.800;59.908.000;   0.041648451;  0.0054328074;11.881.077;59.221.262;74.100.775;22.306.600
1300.88;        Sample;1;32.612.250;    0.53065140;20.104.800;61.648.000;   0.033447580;  0.0046191214;90.932.016;56.746.899;74.174.258;22.300.000
1300.88;       Sample2;1;38.187.807;    0.58495725;22.724.800;59.508.000;   0.040139125;  0.0049174744;10.819.086;55.764.543;74.247.950;22.306.600
1318.54;        Sample;1;32.764.147;    0.53231851;19.870.800;60.648.000;   0.045349617;  0.0071104075;14.646.070;71.052.242;74.350.176;22.313.300
1318.54;       Sample2;1;37.313.173;    0.57728475;22.308.800;59.788.000;   0.041000594;  0.0055668567;12.405.092;56.663.364;74.423.925;22.316.600
1333.23;        Sample;1;32.996.002;    0.53484047;20.136.800;61.028.000;   0.036149238;  0.0048469569;94.483.638;60.417.843;74.498.130;22.310.000
1333.23;       Sample2;1;37.127.695;    0.57562109;22.108.800;59.548.000;   0.043758661;  0.0057521208;12.566.958;61.481.705;74.572.348;22.320.000
1348.06;        Sample;1;32.727.870;    0.53192144;19.920.800;60.868.000;   0.031230246;  0.0046665274;94.563.819;50.385.879;74.646.610;22.320.000
1348.06;       Sample2;1;37.015.455;    0.57460796;22.130.800;59.788.000;   0.045347736;  0.0067358919;15.259.923;60.543.156;74.721.564;22.323.300
1362.98;        Sample;1;32.873.315;    0.53350936;20.094.800;61.128.000;   0.031258801;  0.0047491192;97.802.163;49.934.694;74.796.296;22.326.600
