Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
1241.56;Sample;1;3,2689349;0.53149907;20060.8;6136.8;0,040882088;0,004304931;66,655438;73,990042;7358,057;22,2866
1241.56;Sample2;1;3,7516619;0.57909463;22122.8;5896.8;0,046007757;0,006969583;158,47364;58,694571;7365,4904;22,2866
1256.3;Sample;1;3,271865;0.53182041;20006.8;6114.8;0,032624482;0,004565834;90,168264;54,388466;7372,9501;22,29
1256.3;Sample2;1;3,714401;0.57576795;22088.8;5946.8;0,034519654;0,004691641;103,5171;47,72509;7380,2348;22,2933
1271.11;Sample;1;3,2791601;0.53261856;19926.8;6076.8;0,030186485;0,005269723;112,59522;44,16238;7387,6098;22,29
1271.11;Sample2;1;3,7920833;0.58264498;22148.8;5840.8;0,040196346;0,006511842;150,11574;47,603627;7395,1309;22,3066
1285.94;Sample;1;3,2612277;0.53065169;19954.8;6118.8;0,037925595;0,00537392;106,39648;63,237231;7402,5492;22,3066
1285.94;Sample2;1;3,704814;0.5749035;22194.8;5990.8;0,041648451;0,005432807;118,81077;59,221262;7410,0775;22,3066
1300.88;Sample;1;3,261225;0.5306514;20104.8;6164.8;0,03344758;0,004619121;90,932016;56,746899;7417,4258;22,3
1300.88;Sample2;1;3,8187807;0.58495725;22724.8;5950.8;0,040139125;0,004917474;108,19086;55,764543;7424,795;22,3066
1318.54;Sample;1;3,2764147;0.53231851;19870.8;6064.8;0,045349617;0,007110408;146,4607;71,052242;7435,0176;22,3133
1318.54;Sample2;1;3,7313173;0.57728475;22308.8;5978.8;0,041000594;0,005566857;124,05092;56,663364;7442,3925;22,3166
1333.23;Sample;1;3,2996002;0.53484047;20136.8;6102.8;0,036149238;0,004846957;94,483638;60,417843;7449,813;22,31
1333.23;Sample2;1;3,7127695;0.57562109;22108.8;5954.8;0,043758661;0,005752121;125,66958;61,481705;7457,2348;22,32
1348.06;Sample;1;3,272787;0.53192144;19920.8;6086.8;0,031230246;0,004666527;94,563819;50,385879;7464,661;22,32
1348.06;Sample2;1;3,7015455;0.57460796;22130.8;5978.8;0,045347736;0,006735892;152,59923;60,543156;7472,1564;22,3233
1362.98;Sample;1;3,2873315;0.53350936;20094.8;6112.8;0,031258801;0,004749119;97,802163;49,934694;7479,6296;22,3266
1362.98;Sample2;1;3,7757551;0.58121806;22400.8;5932.8;0,040275522;0,004990193;108,45906;56,389622;7487,0505;22,3266
1377.92;Sample;1;3,2611693;0.53064526;20058.8;6150.8;0,031904649;0,005107665;106,94908;50,452688;7494,5072;22,33
1377.92;Sample2;1;3,6518489;0.57006342;21884.8;5992.8;0,033377476;0,005922456;137,83285;39,693563;7501,9957;22,33
