Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
1091.88;Sample;1;3,4502394;0.55058598;115584.4;33500.4;0,017773894;0,002612555;307,53177;147,77721;9172,1041;22,74
1091.88;Sample2;1;3,337924;0.53894996;109358.4;32762.4;0,016188852;0,002675358;308,76869;129,19508;9179,337;22,75
1106.48;Sample;1;3,4704496;0.55261771;116032.4;33434.4;0,01548209;0,002428841;292,98428;122,96341;9186,6215;22,75
1106.48;Sample2;1;3,3883915;0.54425215;109446.4;32300.4;0,017536646;0,003330445;397,14348;119,19996;9193,9903;22,76
1121.1;Sample;1;3,4931105;0.55487406;116106.8;33238.8;0,019236516;0,002872332;341,70193;154,71468;9201,2238;22,76
1121.1;Sample2;1;3,3311194;0.53822562;109136.8;32762.8;0,016949295;0,003235564;386,12679;119,80598;9211,4628;22,7666
1138.67;Sample;1;3,4644765;0.55201914;115958.8;33470.8;0,013106093;0,00204045;245,43795;104,9461;9218,9069;22,77
1138.67;Sample2;1;3,2952495;0.53436931;107684.8;32678.8;0,012943868;0,002380011;278,33187;96,658923;9226,2406;22,77
1153.45;Sample;1;3,4456872;0.5501258;115336.8;33472.8;0,015494858;0,002128181;243,5855;132,89014;9233,7532;22,7733
1153.45;Sample2;1;3,2999803;0.53488159;107238.8;32496.8;0,01724703;0,003156159;367,10503;128,33837;9241,1576;22,77
1168.3;Sample;1;3,4954728;0.55510797;115814.8;33132.8;0,014976023;0,002519567;308,72608;111,13197;9248,6007;22,7866
1168.3;Sample2;1;3,3473979;0.53995469;107132.8;32004.8;0,019549631;0,003679162;429,4388;135,93807;9255,9643;22,78
1183.11;Sample;1;3,4606255;0.55163238;115926.8;33498.8;0,015519228;0,002722338;337,34911;114,30246;9263,3583;22,7733
1183.11;Sample2;1;3,3158367;0.53659043;106480.8;32112.8;0,019219905;0,004145364;493,77174;111,67999;9270,6886;22,78
1197.82;Sample;1;3,4925968;0.55482317;116054.8;33228.8;0,016281808;0,001910243;203,94581;143,47859;9278,0576;22,7933
1197.82;Sample2;1;3,3173392;0.53675171;106442.8;32086.8;0,021219433;0,003784051;433,95343;158,15449;9285,386;22,7933
1212.56;Sample;1;3,4655823;0.55213008;115392.8;33296.8;0,015511339;0,002820838;350,48358;109,46376;9292,8829;22,7966
1212.56;Sample2;1;3,3025803;0.53516266;105156.8;31840.8;0,01626848;0,003034911;347,65258;116,27553;9300,1603;22,7933
1227.29;Sample;1;3,4635245;0.5519236;116224.8;33556.8;0,016181281;0,002113697;238,74937;140,8067;9307,4222;22,79
1227.29;Sample2;1;3,279846;0.53269347;105298.8;32104.8;0,021410621;0,003472728;383,551;173,91831;9314,9316;22,79
1242.09;Sample;1;3,4783817;0.5534101;115686.8;33258.8;0,016540444;0,002655506;321,38221;128,35723;9322,2608;22,8
1242.09;Sample2;1;3,2656969;0.53114344;103544.8;31706.8;0,021549516;0,004290343;491,42457;145,36415;9329,5676;22,8033
1256.69;Sample;1;3,4450815;0.55006449;115612.8;33558.8;0,015041089;0,001999572;226,15505;130,98734;9336,9584;22,8033
1256.69;Sample2;1;3,2493799;0.52934309;103748.8;31928.8;0,021015901;0,004017755;457,48604;151,06917;9344,4841;22,8033
1271.64;Sample;1;3,4793388;0.55350554;115690.8;33250.8;0,013816178;0,001814442;204,7823;118,19253;9351,8807;22,81
1271.64;Sample2;1;3,256937;0.53017863;103618.8;31814.8;0,020864068;0,004258115;490,67494;137,25965;9359,308;22,81
1286.46;Sample;1;3,4544759;0.5510134;115568.8;33454.8;0,012975403;0,001377991;134,43371;119,48222;9366,7743;22,81
1286.46;Sample2;1;3,2417682;0.52849851;103492.8;31924.8;0,019034315;0,003732567;426,4675;133,53178;9374,1781;22,81
1301.31;Sample;1;3,4568842;0.55125601;115614.8;33444.8;0,016240037;0,002728581;333,93696;123,91508;9381,6209;22,81
1301.31;Sample2;1;3,3920401;0.54463075;108648.4;32030.4;0,016628389;0,0025942;292,39447;131,24184;9389,0423;22,8266
1319.16;Sample;1;3,4882485;0.55439188;116062.4;33272.4;0,016506551;0,002175011;246,80527;140,65336;9399,4525;22,82
1319.16;Sample2;1;3,2158633;0.52560132;102156.4;31766.4;0,019550101;0,004101923;469,55186;126,39121;9406,7877;22,82
1333.99;Sample;1;3,4702445;0.55259718;115692.4;33338.4;0,016600072;0,001819149;183,49301;150,45475;9414,1104;22,82
1333.99;Sample2;1;3,1770612;0.52119447;101006.4;31792.4;0,021325134;0,004615006;526,59782;134,40786;9421,538;22,82
1348.72;Sample;1;3,4734895;0.55292172;115300.4;33194.4;0,015570752;0,002008173;223,86603;134,12013;9429,0045;22,8333
1348.72;Sample2;1;3,164492;0.51974935;100214.4;31668.4;0,020268304;0,004102371;458,6075;141,91102;9436,4245;22,8366
1363.55;Sample;1;3,4743892;0.55301162;115990.4;33384.4;0,01660663;0,002365171;276,51059;138,30477;9443,8517;22,8366
1363.55;Sample2;1;3,1485152;0.51789981;99368.4;31560.4;0,019231321;0,004260406;481,18691;117,49222;9451,2273;22,84
1378.38;Sample;1;3,4593084;0.55149996;115362.4;33348.4;0,01707023;0,002602377;309,45657;138,12199;9458,5118;22,83
1378.38;Sample2;1;3,1472584;0.51775371;98680.4;31354.4;0,019731273;0,004127804;457,97058;132,15939;9465,8814;22,84
